,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,1,2010,1,201001,Adelaide,Brisbane,Adelaide - Brisbane,208,319.4285714
,2,2010,1,201001,Adelaide,Canberra,Adelaide - Canberra,258,396.2142857
,3,2010,1,201001,Adelaide,Darwin,Adelaide - Darwin,358,549.7857143
,4,2010,1,201001,Adelaide,Gold Coast,Adelaide - Gold Coast,128,196.5714286
,5,2010,1,201001,Adelaide,Melbourne,Adelaide - Melbourne,86,132.0714286
,6,2010,1,201001,Adelaide,Perth,Adelaide - Perth,288,442.2857143
,7,2010,1,201001,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.85,326.8767857
,8,2010,1,201001,Adelaide,Sydney,Adelaide - Sydney,116,178.1428571
,9,2010,1,201001,Albury,Sydney,Albury - Sydney,133,204.25
,10,2010,1,201001,Alice Springs,Darwin,Alice Springs - Darwin,428,657.2857143
,11,2010,1,201001,Alice Springs,Melbourne,Alice Springs - Melbourne,166,254.9285714
,12,2010,1,201001,Alice Springs,Sydney,Alice Springs - Sydney,458,703.3571429
,13,2010,1,201001,Avalon,Brisbane,Avalon - Brisbane,158,242.6428571
,14,2010,1,201001,Avalon,Sydney,Avalon - Sydney,78,119.7857143
,15,2010,1,201001,Ayers Rock,Cairns,Ayers Rock - Cairns,628,964.4285714
,16,2010,1,201001,Ayers Rock,Sydney,Ayers Rock - Sydney,618,949.0714286
,17,2010,1,201001,Ballina,Sydney,Ballina - Sydney,148,227.2857143
,18,2010,1,201001,Brisbane,Cairns,Brisbane - Cairns,188,288.7142857
,19,2010,1,201001,Brisbane,Canberra,Brisbane - Canberra,158,242.6428571
,20,2010,1,201001,Brisbane,Darwin,Brisbane - Darwin,258,396.2142857
,21,2010,1,201001,Brisbane,Emerald,Brisbane - Emerald,365,560.5357143
,22,2010,1,201001,Brisbane,Gladstone,Brisbane - Gladstone,224,344
,23,2010,1,201001,Brisbane,Hamilton Island,Brisbane - Hamilton Island,120,184.2857143
,24,2010,1,201001,Brisbane,Hobart,Brisbane - Hobart,348,534.4285714
,25,2010,1,201001,Brisbane,Mackay,Brisbane - Mackay,108,165.8571429
,26,2010,1,201001,Brisbane,Melbourne,Brisbane - Melbourne,218,334.7857143
,27,2010,1,201001,Brisbane,Mount Isa,Brisbane - Mount Isa,471,723.3214286
,28,2010,1,201001,Brisbane,Perth,Brisbane - Perth,438,672.6428571
