Year,Route,Real_Fare
2010,Brisbane - Sydney,225.18
2010,Melbourne - Perth,496.21
2010,Melbourne - Sydney,120.49
2010,Perth - Sydney,609.39
2011,Brisbane - Sydney,202.32
2011,Melbourne - Perth,501.65
2011,Melbourne - Sydney,157.73
2011,Perth - Sydney,546.59
2012,Brisbane - Sydney,218.29
2012,Melbourne - Perth,432.78
2012,Melbourne - Sydney,154.74
2012,Perth - Sydney,583.98
2013,Brisbane - Sydney,186.5
2013,Melbourne - Perth,449.77
2013,Melbourne - Sydney,178.43
2013,Perth - Sydney,687.49
2014,Brisbane - Sydney,165.57
2014,Melbourne - Perth,428.93
2014,Melbourne - Sydney,148.5
2014,Perth - Sydney,542.44
2015,Brisbane - Sydney,162.04
2015,Melbourne - Perth,426.25
2015,Melbourne - Sydney,174.67
2015,Perth - Sydney,507.3
2016,Brisbane - Sydney,162.88
2016,Melbourne - Perth,449.04
2016,Melbourne - Sydney,194.12
2016,Perth - Sydney,479.33
2017,Brisbane - Sydney,189.38
2017,Melbourne - Perth,465.86
2017,Melbourne - Sydney,209.7
2017,Perth - Sydney,533.92
2018,Brisbane - Sydney,185.69
2018,Melbourne - Perth,552.76
2018,Melbourne - Sydney,210.37
2018,Perth - Sydney,547.02
2019,Brisbane - Sydney,180.18
2019,Melbourne - Perth,495.4
2019,Melbourne - Sydney,200.59
2019,Perth - Sydney,553.73
2020,Brisbane - Sydney,210.14
2020,Melbourne - Perth,729.84
2020,Melbourne - Sydney,240.93
2020,Perth - Sydney,808.66
2021,Brisbane - Sydney,234.24
2021,Melbourne - Perth,587.37
2021,Melbourne - Sydney,153.59
2021,Perth - Sydney,576.43
2022,Brisbane - Sydney,201.24
2022,Melbourne - Perth,744.33
2022,Melbourne - Sydney,201.86
2022,Perth - Sydney,846.78
2023,Brisbane - Sydney,197.83
2023,Melbourne - Perth,615.68
2023,Melbourne - Sydney,189.42
2023,Perth - Sydney,703.95
2024,Brisbane - Sydney,201.64
2024,Melbourne - Perth,562.16
2024,Melbourne - Sydney,199.65
2024,Perth - Sydney,624.08
2025,Brisbane - Sydney,195.2
2025,Melbourne - Perth,568.13
2025,Melbourne - Sydney,197.26
2025,Perth - Sydney,686.41
2026,Brisbane - Sydney,236.19
2026,Melbourne - Perth,569.4
2026,Melbourne - Sydney,221.17
2026,Perth - Sydney,617.3
