Year,Month,Passenger_Trips,Aircraft_Trips,Load_Factor,Seats
1984,1,132682,1368.0,66.5,199522.0
1984,2,153549,1311.0,73.2,209766.0
1984,3,166780,1461.0,72.3,230678.0
1984,4,153105,1355.0,73.4,208590.0
1984,5,170378,1494.0,74.2,229620.0
1984,6,151317,1353.0,71.6,211337.0
1984,7,158759,1436.0,70.1,226475.0
1984,8,173440,1492.0,73.1,237264.0
1984,9,160397,1430.0,71.9,223083.0
1984,10,172413,1534.0,71.7,240464.0
1984,11,177973,1529.0,73.5,242140.0
1984,12,139343,1309.0,72.6,191933.0
1985,1,141317,1314.0,70.4,200734.0
1985,2,162295,1412.0,72.7,223239.0
1985,3,183790,1547.0,73.4,250395.0
1985,4,165372,1426.0,72.9,226848.0
1985,5,186797,1619.0,71.6,260890.0
1985,6,158857,1451.0,68.9,230562.0
1985,7,144291,1376.0,69.7,207017.0
1985,8,183945,1615.0,71.3,257987.0
1985,9,174945,1595.0,70.5,248149.0
1985,10,184448,1678.0,69.5,265393.0
1985,11,186644,1593.0,73.2,254978.0
1985,12,159073,1479.0,68.3,232903.0
1986,1,147237,1370.0,68.0,216525.0
1986,2,172936,1432.0,74.5,232129.0
1986,3,178467,1475.0,72.8,245147.0
1986,4,177759,1578.0,71.4,248962.0
1986,5,187333,1676.0,70.0,267619.0
1986,6,166589,1577.0,66.6,250134.0
1986,7,178030,1639.0,66.4,268117.0
1986,8,186485,1645.0,70.7,263769.0
1986,9,175339,1633.0,66.7,262877.0
1986,10,187846,1707.0,70.7,265694.0
1986,11,182255,1579.0,72.5,251386.0
1986,12,167754,1527.0,72.1,232669.0
1987,1,150188,1420.0,71.1,211235.0
1987,2,170200,1515.0,73.3,232196.0
1987,3,191464,1666.0,71.4,268157.0
1987,4,189006,1656.0,72.8,259624.0
1987,5,183985,1700.0,69.5,264727.0
1987,6,176631,1636.0,69.9,252691.0
1987,7,195409,1836.0,70.4,277570.0
1987,8,189913,1754.0,69.9,271692.0
1987,9,198861,1776.0,72.3,275050.0
1987,10,215889,1831.0,75.7,285190.0
1987,11,203383,1742.0,79.4,256150.0
1987,12,185047,1609.0,76.4,242208.0
1988,1,170840,1485.0,72.9,234348.0
1988,2,202336,1797.0,75.4,268350.0
1988,3,218605,1923.0,74.6,293036.0
1988,4,195398,1731.0,73.6,265486.0
1988,5,209421,1911.0,74.3,281859.0
1988,6,202228,1856.0,73.7,274393.0
1988,7,207930,1892.0,74.9,277610.0
1988,8,216819,1995.0,73.2,296201.0
1988,9,231708,1953.0,79.0,293301.0
1988,10,219515,1916.0,79.9,274737.0
1988,11,221987,1948.0,78.4,283147.0
1988,12,199237,1785.0,75.6,263541.0
1989,1,172445,1568.0,78.1,220800.0
