Route,Real_2024,Real_2010,Distance_km,Fare_Per_km
Adelaide - Alice Springs,536.8,698.2,1316.0,0.4079
Adelaide - Brisbane,406.8,308.4,1622.0,0.2508
Adelaide - Canberra,592.8,417.1,972.0,0.6099
Adelaide - Darwin,655.7,661.6,2619.0,0.2504
Adelaide - Gold Coast,427.5,288.5,1607.0,0.266
Adelaide - Melbourne,207.6,112.2,643.0,0.3229
Adelaide - Perth,476.1,510.3,2120.0,0.2246
Adelaide - Port Lincoln,368.1,281.5,246.0,1.4963
Adelaide - Sydney,277.4,168.9,1167.0,0.2377
Albury - Sydney,401.6,234.8,452.0,0.8885
Ayers Rock - Sydney,601.5,978.3,2181.0,0.2758
Ballina - Sydney,120.2,264.3,612.0,0.1964
Brisbane - Cairns,260.1,377.4,1391.0,0.187
Brisbane - Canberra,376.6,313.8,956.0,0.3939
Brisbane - Darwin,595.8,543.5,2852.0,0.2089
Brisbane - Emerald,657.3,456.1,649.0,1.0128
Brisbane - Gladstone,472.4,308.5,432.0,1.0935
Brisbane - Hamilton Island,567.4,282.1,888.0,0.639
Brisbane - Hobart,451.6,698.7,1791.0,0.2521
Brisbane - Mackay,229.5,219.9,797.0,0.288
Brisbane - Melbourne,268.5,247.6,1381.0,0.1944
Brisbane - Mount Isa,851.5,864.9,1563.0,0.5448
Brisbane - Newcastle,175.5,149.0,614.0,0.2858
Brisbane - Perth,563.0,750.2,3615.0,0.1557
Brisbane - Proserpine,336.5,255.6,895.0,0.376
Brisbane - Rockhampton,380.8,105.8,518.0,0.7351
Brisbane - Sydney,201.6,225.2,753.0,0.2677
Brisbane - Townsville,340.9,322.7,1112.0,0.3066
Broome - Perth,589.2,538.1,1677.0,0.3513
Bundaberg - Brisbane,461.1,355.7,285.0,1.6179
Cairns - Melbourne,419.3,592.2,2311.0,0.1814
Cairns - Sydney,317.0,548.8,1971.0,0.1608
Cairns - Townsville,353.1,205.5,284.0,1.2433
Canberra - Melbourne,268.7,128.2,470.0,0.5717
Canberra - Sydney,420.4,222.2,236.0,1.7814
Coffs Harbour - Sydney,395.5,289.2,443.0,0.8928
Darwin - Melbourne,648.7,448.8,3131.0,0.2072
Darwin - Perth,865.8,681.0,2638.0,0.3282
Darwin - Sydney,666.8,693.2,3155.0,0.2113
Devonport - Melbourne,387.0,402.6,412.0,0.9393
Dubbo - Sydney,401.3,385.6,310.0,1.2945
Gold Coast - Sydney,163.4,139.1,680.0,0.2403
Hamilton Island - Sydney,374.9,532.5,1518.0,0.247
Hobart - Melbourne,179.0,114.7,618.0,0.2896
Hobart - Sydney,215.8,310.0,1039.0,0.2077
Kalgoorlie - Perth,587.3,490.4,538.0,1.0916
Karratha - Perth,924.4,519.8,1250.0,0.7395
Launceston - Melbourne,190.7,150.5,476.0,0.4006
Launceston - Sydney,244.3,302.9,914.0,0.2673
Melbourne - Gold Coast,315.2,224.2,1330.0,0.237
Melbourne - Mildura,371.0,288.4,457.0,0.8118
Melbourne - Newcastle,228.5,224.6,836.0,0.2733
Melbourne - Perth,562.2,496.2,2706.0,0.2078
Melbourne - Sydney,199.7,120.5,706.0,0.2829
Newcastle - Gold Coast,219.4,218.9,532.0,0.4124
Perth - Newman,874.7,553.5,1014.0,0.8626
Perth - Port Hedland,792.5,526.5,1312.0,0.604
Perth - Sydney,624.1,609.4,3284.0,0.19
Port Macquarie - Sydney,355.3,238.8,320.0,1.1103
Sunshine Coast - Melbourne,299.0,269.2,1454.0,0.2056
Sunshine Coast - Sydney,181.0,278.5,837.0,0.2162
Sydney - Tamworth,426.4,327.4,317.0,1.3451
Sydney - Townsville,424.6,411.7,1690.0,0.2512
Sydney - Wagga Wagga,407.6,334.0,367.0,1.1106
