Year,Month,Month_Name,Real_Fare
2015,1,Jan,161.5
2015,2,Feb,202.6
2015,3,Mar,175.2
2015,4,Apr,160.5
2015,5,May,133.3
2015,6,Jun,160.5
2015,7,Jul,159.7
2015,8,Aug,203.1
2015,9,Sep,167.9
2015,10,Oct,188.8
2015,11,Nov,188.8
2015,12,Dec,194.2
2016,1,Jan,154.0
2016,2,Feb,159.4
2016,3,Mar,167.5
2016,4,Apr,153.5
2016,5,May,148.1
2016,6,Jun,161.5
2016,7,Jul,165.7
2016,8,Aug,165.7
2016,9,Sep,224.5
2016,10,Oct,156.8
2016,11,Nov,196.7
2016,12,Dec,475.8
2017,1,Jan,169.4
2017,2,Feb,182.6
2017,3,Mar,269.9
2017,4,Apr,182.3
2017,5,May,274.7
2017,6,Jun,182.3
2017,7,Jul,181.1
2017,8,Aug,144.4
2017,9,Sep,207.4
2017,10,Oct,180.0
2017,11,Nov,166.9
2017,12,Dec,375.6
2018,1,Jan,166.2
2018,2,Feb,192.2
2018,3,Mar,267.3
2018,4,Apr,179.7
2018,5,May,179.7
2018,6,Jun,199.2
2018,7,Jul,166.0
2018,8,Aug,182.9
2018,9,Sep,207.3
2018,10,Oct,181.9
2018,11,Nov,206.2
2018,12,Dec,395.8
2019,1,Jan,178.1
2019,2,Feb,231.8
2019,3,Mar,180.7
2019,4,Apr,234.2
2019,5,May,159.1
2019,6,Jun,188.5
2019,7,Jul,158.2
2019,8,Aug,169.6
2019,9,Sep,203.8
2019,10,Oct,187.3
2019,11,Nov,193.6
2019,12,Dec,322.1
2020,1,Jan,195.6
2020,2,Feb,204.4
2020,3,Mar,235.7
2020,4,Apr,186.6
2020,5,May,245.4
2020,6,Jun,242.8
2020,7,Jul,220.2
2020,8,Aug,290.6
2020,9,Sep,244.1
2020,10,Oct,232.0
2020,11,Nov,296.9
2020,12,Dec,296.9
2021,1,Jan,213.3
2021,2,Feb,164.9
2021,3,Mar,158.7
2021,4,Apr,163.7
2021,5,May,96.0
2021,6,Jun,96.0
2021,7,Jul,73.3
2021,8,Aug,73.3
2021,9,Sep,278.5
2021,10,Oct,238.6
2021,11,Nov,154.3
2021,12,Dec,132.6
2022,1,Jan,129.8
2022,2,Feb,139.2
2022,3,Mar,181.7
2022,4,Apr,136.8
2022,5,May,191.3
2022,6,Jun,191.3
2022,7,Jul,154.9
2022,8,Aug,154.9
2022,9,Sep,251.6
2022,10,Oct,252.6
2022,11,Nov,249.3
2022,12,Dec,389.0
2023,1,Jan,189.6
2023,2,Feb,201.8
2023,3,Mar,212.8
2023,4,Apr,161.8
2023,5,May,194.6
2023,6,Jun,175.0
2023,7,Jul,159.9
2023,8,Aug,159.9
2023,9,Sep,195.6
2023,10,Oct,138.6
2023,11,Nov,177.2
2023,12,Dec,306.1
2024,1,Jan,198.1
2024,2,Feb,106.5
2024,3,Mar,297.1
2024,4,Apr,178.1
2024,5,May,166.5
2024,6,Jun,183.4
2024,7,Jul,192.3
2024,8,Aug,171.3
2024,9,Sep,222.8
2024,10,Oct,198.2
2024,11,Nov,188.8
2024,12,Dec,292.6
2025,1,Jan,169.4
2025,2,Feb,265.0
2025,3,Mar,172.5
2025,4,Apr,183.7
2025,5,May,171.3
2025,6,Jun,171.3
2025,7,Jul,169.9
2025,8,Aug,187.4
2025,9,Sep,195.6
2025,10,Oct,195.2
2025,11,Nov,244.5
2025,12,Dec,241.4
2026,1,Jan,192.3
2026,2,Feb,255.7
2026,3,Mar,238.6
2026,4,Apr,198.0
