City,Month,Month_Name,Fare
Sydney,1,Jan,334.4
Sydney,2,Feb,373.4
Sydney,3,Mar,452.9
Sydney,4,Apr,338.7
Sydney,5,May,294.4
Sydney,6,Jun,318.3
Sydney,7,Jul,289.0
Sydney,8,Aug,269.8
Sydney,9,Sep,317.1
Sydney,10,Oct,326.2
Sydney,11,Nov,343.7
Sydney,12,Dec,443.6
Melbourne,1,Jan,428.1
Melbourne,2,Feb,347.7
Melbourne,3,Mar,551.6
Melbourne,4,Apr,321.5
Melbourne,5,May,352.1
Melbourne,6,Jun,313.6
Melbourne,7,Jul,305.3
Melbourne,8,Aug,294.8
Melbourne,9,Sep,367.3
Melbourne,10,Oct,363.4
Melbourne,11,Nov,348.2
Melbourne,12,Dec,577.4
Brisbane,1,Jan,173.6
Brisbane,2,Feb,189.5
Brisbane,3,Mar,291.8
Brisbane,4,Apr,211.9
Brisbane,5,May,153.9
Brisbane,6,Jun,179.2
Brisbane,7,Jul,165.0
Brisbane,8,Aug,177.6
Brisbane,9,Sep,153.5
Brisbane,10,Oct,176.2
Brisbane,11,Nov,251.7
Brisbane,12,Dec,295.8
Perth,1,Jan,644.7
Perth,2,Feb,706.5
Perth,3,Mar,788.0
Perth,4,Apr,545.5
Perth,5,May,550.2
Perth,6,Jun,518.1
Perth,7,Jul,464.0
Perth,8,Aug,439.3
Perth,9,Sep,543.4
Perth,10,Oct,566.3
Perth,11,Nov,549.0
Perth,12,Dec,802.3
